Step;avg_deliberation;avg_imitation;avg_repetition;avg_social;avg_utility;std_deliberation;std_imitation;std_repetition;std_social;std_utility
47;9.733333333333333;0.0;0.0;0.0;94.6;2,4044;0,0000;0,0000;0,0000;9,8184
48;9.6;0.0;0.0;0.0;93.93333333333334;2,2615;0,0000;0,0000;0,0000;7,9952
49;9.8;0.0;0.0;0.0;92.4;2,9809;0,0000;0,0000;0,0000;4,8668
50;11.066666666666666;0.0;0.0;0.0;91.46666666666667;2,7894;0,0000;0,0000;0,0000;8,8710
51;9.533333333333333;0.0;0.0;0.0;89.6;3,4198;0,0000;0,0000;0,0000;8,3049
52;10.733333333333333;0.0;0.0;0.0;92.6;3,2175;0,0000;0,0000;0,0000;7,2585
53;10.266666666666667;0.0;0.0;0.0;96.2;3,3051;0,0000;0,0000;0,0000;11,0208
54;10.8;0.0;0.06666666666666668;0.0;93.26666666666667;2,6511;0,0000;0,2582;0,0000;11,2152
55;9.866666666666667;0.0;0.0;0.0;91.66666666666667;2,8502;0,0000;0,0000;0,0000;7,5277
56;9.733333333333333;0.0;0.0;0.0;91.06666666666666;3,3481;0,0000;0,0000;0,0000;9,6767
57;11.0;0.0;0.0;0.0;89.33333333333333;4,5981;0,0000;0,0000;0,0000;11,1718
58;9.2;0.0;0.0;0.0;90.2;3,3637;0,0000;0,0000;0,0000;7,8212
59;11.4;0.0;0.06666666666666667;0.0;92.46666666666667;2,6939;0,0000;0,2582;0,0000;7,0495
60;10.066666666666666;0.0;0.06666666666666668;0.0;92.66666666666667;3,4737;0,0000;0,2582;0,0000;9,6782
61;10.066666666666666;0.0;0.0;0.0;95.26666666666667;4,1827;0,0000;0,0000;0,0000;7,9325
62;10.133333333333333;0.0;0.0;0.0;92.0;2,3258;0,0000;0,0000;0,0000;9,3580
63;10.6;0.0;0.0;0.0;92.86666666666666;4,1196;0,0000;0,0000;0,0000;10,4599
64;10.2;0.0;0.0;0.0;91.46666666666667;3,1893;0,0000;0,0000;0,0000;11,8856
65;10.4;0.0;0.0;0.0;91.73333333333333;2,2297;0,0000;0,0000;0,0000;10,8658
66;10.933333333333334;0.0;0.06666666666666668;0.0;90.6;3,7123;0,0000;0,2582;0,0000;9,8764
67;10.066666666666666;0.0;0.0;0.0;90.86666666666666;3,5550;0,0000;0,0000;0,0000;6,1513
68;10.333333333333334;0.0;0.0;0.0;89.6;2,9921;0,0000;0,0000;0,0000;8,9666
69;11.2;0.0;0.0;0.0;92.4;2,1778;0,0000;0,0000;0,0000;9,4400
70;11.266666666666667;0.0;0.0;0.0;91.86666666666666;2,7637;0,0000;0,0000;0,0000;8,6756
71;11.333333333333334;0.0;0.06666666666666667;0.0;91.2;3,5989;0,0000;0,2582;0,0000;9,6673
72;9.0;0.0;0.0;0.0;95.66666666666667;2,2991;0,0000;0,0000;0,0000;9,3707
73;10.666666666666666;0.0;0.0;0.0;91.4;3,2878;0,0000;0,0000;0,0000;11,2428
74;10.8;0.0;0.06666666666666668;0.0;88.6;4,7087;0,0000;0,2582;0,0000;7,8722
75;9.4;0.0;0.06666666666666668;0.0;97.26666666666667;3,9964;0,0000;0,2582;0,0000;8,4131
76;9.533333333333333;0.0;0.0;0.0;88.66666666666667;2,8502;0,0000;0,0000;0,0000;8,8936
77;11.266666666666667;0.0;0.0;0.0;95.73333333333333;2,3135;0,0000;0,0000;0,0000;7,6014
78;10.733333333333333;0.0;0.0;0.0;92.93333333333334;3,3905;0,0000;0,0000;0,0000;7,9504
79;10.2;0.0;0.0;0.0;93.53333333333333;2,4260;0,0000;0,0000;0,0000;10,2600
80;10.4;0.0;0.0;0.0;93.33333333333333;3,1803;0,0000;0,0000;0,0000;9,4390
81;11.733333333333333;0.0;0.06666666666666667;0.0;93.2;3,5146;0,0000;0,2582;0,0000;11,5894
82;10.4;0.0;0.06666666666666668;0.0;93.53333333333333;2,7723;0,0000;0,2582;0,0000;8,0433
83;9.733333333333333;0.0;0.0;0.0;88.93333333333334;2,6583;0,0000;0,0000;0,0000;8,4216
84;9.666666666666666;0.0;0.0;0.0;92.73333333333333;4,0825;0,0000;0,0000;0,0000;7,9054
